employee_id,date,attendance_status,hours_worked,tasks_completed,performance_rating
EMP5558,2023-04-17,On Leave,2.46,7.0,0.0
EMP3170,2024-03-29,Work From Home,9.96,11.0,3.2
EMP3184,2024-02-20,Present,8.23,9.0,3.6
EMP7930,2023-03-22,Late,4.16,14.0,4.0
EMP9179,2024-05-15,Present,1.09,14.0,3.0
EMP3503,2024-01-26,Work From Home,4.65,10.0,1.2
EMP5558,2024-08-20,Late,8.5,6.0,3.0
EMP1006,2023-08-18,Late,3.86,13.0,2.1
EMP5497,2024-12-03,Work From Home,9.34,7.0,4.0
EMP3546,2023-04-20,Absent,3.05,6.0,1.5
EMP7615,2024-02-16,Present,5.27,6.0,1.6
EMP9938,2023-05-10,Present,6.03,10.0,4.5
EMP1006,2024-06-24,Absent,5.08,9.0,2.2
EMP9179,2023-08-01,Late,7.04,7.0,4.1
EMP9751,2024-09-21,Work From Home,7.08,4.0,1.5
EMP5010,2024-11-07,Present,3.38,7.0,1.2
EMP4475,2023-11-10,Absent,5.35,13.0,3.8
EMP6000,2024-10-29,Absent,0.48,0.0,1.8
EMP5558,2023-02-27,Late,6.095000000000001,5.0,3.0
EMP5542,2023-06-29,Work From Home,1.55,7.0,3.2
EMP3184,2024-03-24,On Leave,9.57,2.0,3.7
EMP5915,2024-04-30,Work From Home,6.23,4.0,4.6
EMP8019,2024-01-06,Work From Home,2.63,4.0,3.0
EMP4475,2023-09-29,Work From Home,7.81,13.0,3.6
EMP2530,2024-10-27,Work From Home,6.095000000000001,10.0,2.5
EMP2796,2024-11-08,Absent,3.61,11.0,4.1
EMP5558,2024-11-03,Work From Home,11.57,4.0,1.3
EMP5291,2024-10-19,Absent,11.48,15.0,4.2
EMP2588,2023-09-22,On Leave,2.66,7.0,2.5
EMP9666,2023-10-23,Late,5.27,14.0,3.8
EMP9179,2023-05-28,Late,3.75,10.0,4.9
EMP5291,2024-07-08,Absent,0.43,2.0,3.5
EMP5558,2023-10-17,Work From Home,0.3,11.0,4.2
EMP8433,2023-10-24,Absent,6.87,3.0,4.9
EMP9494,2024-05-25,Absent,6.095000000000001,1.0,2.1
EMP6862,2024-09-23,On Leave,2.95,9.0,2.6
EMP9004,2023-04-05,Present,7.61,7.0,1.0
EMP9179,2024-02-03,Work From Home,10.86,0.0,2.5
EMP2588,2024-05-03,Work From Home,6.095000000000001,7.0,3.7
EMP3184,2024-08-21,Present,4.57,11.0,3.7
EMP3170,2023-09-27,Work From Home,2.71,8.0,1.2
EMP8018,2024-05-28,Late,10.96,5.0,4.7
EMP4510,2024-10-29,Present,2.31,2.0,1.7
EMP9751,2024-09-18,On Leave,6.095000000000001,4.0,4.7
EMP8019,2024-10-20,Late,7.62,10.0,1.6
EMP7615,2023-02-21,Work From Home,3.48,12.0,2.7
EMP4510,2024-10-19,Present,11.49,1.0,4.8
EMP6947,2024-12-07,On Leave,2.22,6.0,2.1
EMP7615,2023-04-14,Work From Home,7.13,14.0,3.0
EMP9494,2023-10-05,Absent,11.2,8.0,3.0
EMP9666,2024-09-13,Late,6.11,7.0,3.6
EMP4510,2024-02-07,Absent,6.07,7.0,3.3
EMP8019,2023-02-21,Absent,6.095000000000001,7.0,1.2
EMP8433,2024-09-11,Present,1.66,8.0,3.6
EMP9179,2023-05-27,Work From Home,3.18,7.0,3.2
EMP7930,2023-08-28,On Leave,6.41,9.0,4.6
EMP3184,2024-12-14,Present,6.095000000000001,2.0,1.4
EMP6000,2023-08-30,Absent,1.23,8.0,1.7
EMP6553,2023-05-27,Present,3.8,5.0,3.0
EMP8018,2023-06-11,Late,8.54,5.0,3.0
EMP4475,2023-01-22,Absent,0.0,10.0,5.0
EMP9004,2024-04-30,On Leave,10.94,5.0,4.2
EMP5915,2023-03-12,Work From Home,6.37,0.0,3.6
EMP9179,2023-12-13,Present,1.29,13.0,4.7
EMP7615,2024-04-13,Work From Home,6.095000000000001,15.0,3.1
EMP9727,2023-09-28,Absent,7.93,5.0,1.7
EMP3296,2023-03-31,Late,6.095000000000001,10.0,3.8
EMP9920,2023-08-13,Absent,11.49,15.0,3.0
EMP6553,2023-05-26,On Leave,4.18,10.0,4.1
EMP2588,2024-10-12,Absent,6.095000000000001,14.0,2.7
EMP4978,2024-12-01,Work From Home,7.2,3.0,4.1
EMP5349,2024-07-23,Absent,5.95,11.0,4.1
EMP9751,2024-11-08,Late,8.72,15.0,3.0
EMP9666,2023-02-05,Present,6.03,4.0,4.8
EMP6947,2023-02-21,On Leave,2.02,13.0,3.0
EMP8433,2024-04-06,Late,8.27,7.0,1.1
EMP6947,2023-09-03,Present,0.7,2.0,3.9
EMP5558,2024-02-28,Work From Home,4.65,2.0,4.6
EMP5558,2023-05-11,Work From Home,2.13,0.0,2.6
EMP7615,2024-02-15,Late,6.29,12.0,3.0
EMP5135,2023-04-06,Late,8.77,14.0,4.4
EMP2530,2023-10-01,Late,9.85,9.0,4.3
EMP9004,2024-03-24,On Leave,0.97,1.0,3.9
EMP5497,2023-03-16,On Leave,8.26,5.0,2.7
EMP4978,2024-09-20,Late,11.46,12.0,1.1
EMP3950,2024-05-29,Absent,8.08,1.0,1.9
EMP2588,2023-05-19,Work From Home,4.66,11.0,2.7
EMP5558,2024-09-19,Work From Home,0.65,5.0,4.4
EMP6947,2023-07-14,Present,3.06,13.0,3.1
EMP6000,2023-11-26,Present,4.66,5.0,2.3
EMP4475,2024-02-01,Late,2.22,7.0,1.7
EMP4470,2023-05-14,Present,6.68,10.0,2.6
EMP6862,2023-11-22,Work From Home,11.05,7.0,1.4
EMP4228,2023-12-29,Late,2.58,5.0,2.1
EMP5349,2023-07-17,Present,1.51,13.0,5.0
EMP5119,2023-06-20,Present,4.46,8.0,4.1
EMP5915,2023-11-25,Work From Home,3.23,13.0,3.6
EMP3503,2024-04-03,Late,9.52,2.0,1.9
EMP2588,2023-12-14,Absent,9.61,3.0,1.8
EMP1006,2024-06-16,Work From Home,5.5,0.0,3.4
EMP4510,2023-02-27,Present,2.79,7.0,3.1
EMP5349,2024-09-02,On Leave,5.21,10.0,3.4
EMP3296,2023-03-10,Late,2.83,11.0,2.5
EMP9494,2023-02-02,On Leave,9.71,13.0,4.1
EMP5291,2023-03-06,Present,8.59,14.0,2.2
EMP9751,2023-05-10,Work From Home,5.68,3.0,4.8
EMP8019,2024-04-17,Late,7.65,14.0,3.7
EMP1753,2023-12-21,Late,7.63,0.0,1.0
EMP9022,2024-10-24,Late,7.35,12.0,4.9
EMP3296,2024-05-24,Present,8.94,0.0,2.6
EMP9920,2023-07-24,Work From Home,7.11,5.0,1.1
EMP6947,2023-06-01,Present,6.8,3.0,3.3
EMP7930,2023-05-05,Absent,0.35,7.0,2.2
EMP4510,2024-07-13,Work From Home,6.095000000000001,15.0,3.6
EMP4258,2023-11-25,On Leave,7.24,6.0,2.3
EMP4510,2024-04-25,Absent,9.14,10.0,2.5
EMP2796,2023-11-05,Late,11.34,4.0,2.2
EMP2588,2024-11-01,On Leave,7.81,6.0,2.8
EMP4510,2023-09-04,Work From Home,5.99,2.0,4.6
EMP9666,2023-05-10,Work From Home,3.29,1.0,2.2
EMP2530,2024-05-09,Absent,8.45,13.0,3.4
EMP8018,2023-08-04,On Leave,8.04,6.0,3.0
EMP3546,2024-05-27,Present,0.0,11.0,1.4
EMP3184,2023-05-13,Present,7.34,2.0,2.2
EMP6553,2024-05-03,Late,7.81,9.0,2.1
EMP5558,2024-02-03,Present,3.8,3.0,1.0
EMP3546,2023-04-27,On Leave,8.95,15.0,4.1
EMP1964,2023-02-02,Work From Home,10.32,2.0,2.0
EMP2796,2024-08-22,Work From Home,5.8,5.0,1.7
EMP8018,2024-04-13,Work From Home,6.095000000000001,15.0,3.0
EMP9666,2024-01-28,Absent,6.04,9.0,1.3
EMP9920,2024-03-27,On Leave,5.54,9.0,3.0
EMP4510,2024-08-01,Late,0.37,7.0,1.1
EMP9751,2023-12-29,Present,3.21,12.0,2.5
EMP8433,2023-11-25,Present,2.89,8.0,3.0
EMP1525,2023-09-09,Late,5.99,10.0,4.1
EMP2796,2024-11-27,On Leave,5.07,2.0,2.5
EMP2796,2023-08-31,On Leave,6.095000000000001,10.0,3.8
EMP5573,2024-12-08,Present,6.01,11.0,2.9
EMP4258,2023-06-09,Present,1.89,1.0,2.1
EMP9666,2024-04-19,On Leave,10.98,7.0,3.2
EMP9751,2024-08-29,Present,6.77,0.0,3.6
EMP6862,2024-11-26,Late,5.4,11.0,2.8
EMP4228,2024-10-08,Late,7.77,2.0,1.4
EMP7615,2024-01-08,Absent,4.6,4.0,4.7
EMP9938,2023-01-06,Work From Home,6.87,12.0,3.2
EMP5573,2023-07-22,Present,9.88,11.0,3.3
EMP1964,2024-04-02,Absent,0.14,7.0,0.0
EMP9022,2024-02-28,Work From Home,3.61,1.0,4.8
EMP3296,2023-12-31,On Leave,6.64,12.0,1.7
EMP3950,2023-03-22,Work From Home,7.31,12.0,3.7
EMP2796,2024-12-19,Absent,10.39,7.0,3.8
EMP2193,2023-11-12,On Leave,9.42,15.0,3.0
EMP5915,2023-03-16,Present,0.11,3.0,3.0
EMP2530,2024-11-19,Absent,3.73,6.0,1.1
EMP2796,2024-02-27,Present,6.095000000000001,7.0,3.8
EMP2588,2023-06-24,Present,10.66,5.0,3.2
EMP5291,2023-12-27,Work From Home,6.75,13.0,2.1
EMP1090,2023-10-08,Late,1.12,11.0,1.3
EMP1964,2023-03-14,Work From Home,8.25,8.0,3.6
EMP9666,2024-10-20,Work From Home,9.5,4.0,1.4
EMP9666,2024-12-22,Late,6.095000000000001,15.0,2.9
EMP5558,2024-07-01,Present,7.48,1.0,3.6
EMP9920,2023-03-04,Present,4.78,6.0,4.8
EMP9666,2024-06-13,Work From Home,9.19,1.0,2.6
EMP2588,2023-01-16,Work From Home,8.67,13.0,1.3
EMP2588,2023-01-10,Late,10.22,5.0,2.4
EMP5349,2024-05-04,On Leave,1.37,2.0,3.0
EMP4978,2024-09-14,Late,1.78,4.0,3.5
EMP9179,2024-01-18,On Leave,0.73,15.0,1.1
EMP4470,2024-12-27,Present,7.68,9.0,2.6
EMP9666,2023-11-03,Absent,11.18,3.0,2.1
EMP3296,2024-05-11,Present,9.11,11.0,3.1
EMP5558,2024-10-30,On Leave,5.94,15.0,3.8
EMP5573,2024-09-13,Absent,9.62,7.0,3.5
EMP5135,2024-09-17,Late,4.71,3.0,2.4
EMP5291,2023-09-16,On Leave,6.095000000000001,13.0,1.3
EMP3503,2023-03-29,Work From Home,8.02,13.0,1.9
EMP3546,2024-09-11,Absent,2.53,10.0,3.7
EMP5010,2023-09-20,Late,7.73,14.0,2.1
EMP2530,2023-05-14,Late,4.09,5.0,1.2
EMP3950,2023-10-30,Present,11.91,9.0,3.0
EMP8433,2023-05-30,Late,10.07,9.0,4.0
EMP4978,2024-11-27,Late,6.21,4.0,3.6
EMP8018,2024-09-16,Late,5.81,7.0,3.2
EMP5119,2024-03-10,Work From Home,0.95,5.0,2.2
EMP5135,2024-02-18,Work From Home,10.38,0.0,2.8
EMP5573,2024-05-29,On Leave,10.93,1.0,3.1
EMP5558,2023-07-28,On Leave,3.96,2.0,4.4
EMP5573,2024-03-24,Absent,0.52,11.0,4.9
EMP5349,2024-04-27,Work From Home,1.54,8.0,4.1
EMP9938,2023-09-01,Absent,4.16,10.0,3.0
EMP5558,2023-09-16,Work From Home,10.02,15.0,4.0
EMP1166,2023-12-05,Late,1.95,14.0,3.9
EMP5349,2024-10-29,Absent,5.31,8.0,5.0
EMP9022,2024-04-02,Late,6.46,11.0,3.2
EMP7930,2023-04-28,Absent,5.62,2.0,4.0
EMP9494,2023-08-31,Late,9.48,0.0,3.2
EMP5558,2023-04-16,Absent,3.76,9.0,2.5
EMP9727,2024-07-29,On Leave,1.27,7.0,1.5
EMP1753,2024-03-27,Absent,5.48,13.0,5.0
EMP9938,2024-03-21,Late,3.31,9.0,4.1
EMP5291,2023-07-24,Absent,1.16,6.0,3.0
EMP3296,2023-09-13,Absent,1.14,3.0,1.5
EMP1090,2024-02-10,On Leave,7.51,7.0,3.6
EMP6553,2024-12-05,Late,7.55,15.0,4.9
EMP8433,2024-12-11,Work From Home,6.095000000000001,12.0,1.1
EMP6000,2024-10-05,Work From Home,8.98,13.0,3.7
EMP5542,2023-05-04,Absent,11.86,13.0,2.9
EMP4475,2023-08-07,Late,7.96,10.0,2.2
EMP5349,2023-11-22,Work From Home,9.67,11.0,3.0
EMP2588,2024-09-12,On Leave,10.59,12.0,4.9
EMP2588,2023-12-29,Present,5.08,14.0,3.7
EMP1006,2023-04-04,Late,9.5,9.0,3.2
EMP3503,2024-08-31,Present,7.66,2.0,4.1
EMP3503,2023-04-30,Late,1.68,1.0,5.0
EMP9022,2023-11-19,Work From Home,0.19,6.0,1.6
EMP9179,2023-06-23,Work From Home,7.91,9.0,3.7
EMP3950,2024-01-11,Absent,6.095000000000001,8.0,4.8
EMP7615,2024-12-19,On Leave,6.095000000000001,1.0,1.9
EMP9751,2024-07-28,Present,9.88,0.0,3.7
EMP2530,2023-07-12,On Leave,1.98,12.0,1.9
EMP9004,2023-01-27,Work From Home,1.08,2.0,3.4
EMP9727,2023-01-18,Late,7.05,0.0,1.9
EMP3184,2024-04-22,Late,3.63,12.0,1.4
EMP5135,2024-08-12,On Leave,9.38,10.0,3.0
EMP9022,2024-09-25,Present,3.54,7.0,3.0
EMP3296,2023-10-13,On Leave,5.55,2.0,4.2
EMP3296,2024-01-13,Present,9.98,2.0,3.5
EMP5497,2024-06-11,Present,3.94,12.0,1.7
EMP9727,2024-09-16,Present,8.02,10.0,3.0
EMP5349,2023-01-05,Absent,5.42,6.0,3.3
EMP5010,2023-04-17,Work From Home,4.99,15.0,3.7
EMP1753,2023-12-02,Present,6.095000000000001,7.0,3.0
EMP4258,2024-04-08,Present,1.37,7.0,2.4
EMP8019,2023-09-09,Late,9.97,2.0,4.5
EMP9004,2023-02-11,Absent,5.14,7.0,1.6
EMP9727,2023-05-12,Late,7.92,5.0,3.1
EMP9179,2023-03-02,On Leave,6.095000000000001,0.0,2.1
EMP2530,2023-03-20,Work From Home,6.13,3.0,3.0
EMP8433,2024-03-12,On Leave,11.5,7.0,3.5
EMP5497,2023-08-17,Late,10.02,0.0,2.9
EMP1006,2023-06-07,On Leave,0.65,0.0,1.4
EMP6947,2024-01-11,On Leave,6.5,1.0,3.2
EMP2193,2024-07-01,Work From Home,6.08,13.0,1.1
EMP6862,2023-05-30,Late,0.19,13.0,1.6
EMP1006,2024-01-26,On Leave,11.94,9.0,3.0
EMP2796,2023-08-08,Absent,10.29,7.0,2.1
EMP3546,2023-03-16,Present,0.54,11.0,3.0
EMP5135,2024-01-25,Late,5.6,11.0,2.0
EMP1964,2024-10-23,On Leave,2.07,7.0,5.0
EMP5497,2023-06-16,Work From Home,6.77,12.0,2.3
EMP6000,2023-02-20,Absent,8.13,8.0,3.0
EMP9938,2024-02-05,Late,7.04,2.0,3.8
EMP3950,2023-08-22,Work From Home,8.89,0.0,4.4
EMP2796,2024-03-02,Work From Home,6.095000000000001,3.0,2.0
EMP1525,2024-02-15,Work From Home,6.095000000000001,6.0,4.5
EMP8018,2023-11-03,Late,5.7,0.0,3.0
EMP1006,2024-10-02,Work From Home,3.63,2.0,3.6
EMP4228,2024-07-24,Present,4.39,12.0,2.1
EMP9666,2024-06-16,On Leave,6.095000000000001,10.0,4.6
EMP5573,2023-11-12,Present,5.56,3.0,1.6
EMP2193,2023-10-14,Absent,4.6,13.0,3.6
EMP3503,2023-06-02,Work From Home,3.6,5.0,2.9
EMP5010,2024-04-16,Absent,2.02,11.0,1.6
EMP7615,2024-01-13,On Leave,5.68,7.0,5.0
EMP5915,2023-09-01,Absent,7.07,0.0,2.1
EMP3184,2024-08-17,On Leave,1.15,4.0,3.0
EMP5558,2023-07-13,Absent,11.77,7.0,2.5
EMP5119,2024-06-04,Present,0.96,5.0,3.4
EMP5497,2024-11-26,Absent,1.92,0.0,4.4
EMP5119,2024-11-27,Late,8.65,8.0,1.4
EMP4228,2024-11-02,Late,5.97,9.0,4.6
EMP5291,2024-02-10,On Leave,0.35,6.0,3.4
EMP6553,2024-02-13,Late,4.99,3.0,2.7
EMP9751,2024-01-17,Present,9.78,5.0,2.6
EMP3170,2023-01-02,On Leave,0.58,14.0,4.9
EMP9751,2023-07-31,Work From Home,9.67,7.0,2.1
EMP3296,2023-10-20,Absent,8.33,15.0,3.0
EMP9920,2023-10-29,On Leave,5.57,3.0,1.2
EMP5010,2024-02-25,Absent,9.23,2.0,4.9
EMP5349,2023-12-30,Late,9.57,10.0,4.5
EMP5135,2023-06-16,Absent,4.72,9.0,2.3
EMP5542,2023-05-14,Present,6.48,5.0,3.6
EMP5558,2023-12-16,Late,1.89,9.0,4.1
EMP3296,2023-08-31,Work From Home,6.095000000000001,11.0,3.5
EMP2530,2023-03-17,Work From Home,0.65,7.0,1.3
EMP9938,2023-08-18,Work From Home,10.17,11.0,2.5
EMP4470,2024-01-10,Present,9.17,11.0,2.6
EMP1525,2023-03-17,Late,9.59,1.0,1.1
EMP9727,2024-05-16,On Leave,1.71,8.0,2.5
EMP2193,2023-10-09,Work From Home,7.1,11.0,1.3
EMP9938,2024-06-05,On Leave,8.46,13.0,4.9
EMP3296,2024-01-20,Late,0.96,4.0,1.5
EMP7615,2024-09-28,Late,2.93,1.0,2.5
EMP1753,2024-02-16,On Leave,5.12,3.0,3.8
EMP3950,2024-08-20,Absent,5.77,12.0,4.3
EMP5010,2023-11-13,On Leave,8.0,10.0,3.8
EMP6000,2023-10-24,Work From Home,9.44,9.0,1.3
EMP8018,2023-03-12,Present,6.07,10.0,4.4
EMP4470,2024-01-31,On Leave,4.07,5.0,3.8
EMP1090,2023-08-29,Work From Home,0.95,14.0,2.8
EMP8018,2024-10-24,Work From Home,9.8,2.0,1.1
EMP9920,2024-04-27,Absent,9.09,6.0,3.7
EMP4228,2023-03-13,Late,11.39,10.0,2.3
EMP3546,2024-08-04,Absent,0.0,6.0,3.4
EMP9666,2023-02-11,Absent,2.58,7.0,1.4
EMP9666,2023-05-03,Present,0.15,7.0,3.0
EMP4978,2024-10-17,On Leave,3.9,8.0,3.6
EMP9727,2023-10-22,Late,7.2,11.0,3.3
EMP7615,2023-09-10,Work From Home,6.95,1.0,1.3
EMP5558,2024-07-21,On Leave,6.095000000000001,1.0,4.6
EMP2588,2023-06-18,On Leave,5.39,10.0,1.5
EMP3170,2023-09-08,Late,4.43,5.0,4.3
EMP1006,2024-04-26,Late,0.52,12.0,2.0
EMP4258,2023-10-19,Absent,5.45,15.0,4.4
EMP4510,2024-08-07,On Leave,6.91,7.0,4.2
EMP4470,2024-03-28,Work From Home,4.97,6.0,3.0
EMP9022,2024-07-28,Late,7.77,9.0,3.7
EMP8433,2023-12-06,On Leave,2.47,6.0,3.8
EMP5542,2023-07-30,Absent,3.34,2.0,3.0
EMP6862,2024-04-21,On Leave,10.39,9.0,1.3
EMP1006,2024-09-12,Work From Home,7.15,7.0,2.5
EMP5915,2024-04-06,Present,7.43,11.0,2.9
EMP8019,2023-03-14,Work From Home,5.67,6.0,1.5
EMP5010,2023-05-05,On Leave,6.88,12.0,4.3
EMP8019,2024-04-13,On Leave,6.095000000000001,4.0,1.0
EMP6000,2024-03-05,On Leave,6.46,7.0,1.9
EMP9727,2024-02-12,On Leave,11.56,9.0,4.2
EMP6000,2023-08-17,On Leave,0.28,7.0,2.3
EMP5915,2023-12-18,Present,10.73,1.0,1.4
EMP4978,2023-07-22,Absent,10.83,14.0,1.4
EMP6000,2023-12-20,Work From Home,2.89,3.0,3.0
EMP1964,2023-12-18,Absent,7.78,7.0,3.1
EMP2588,2023-11-01,On Leave,6.095000000000001,1.0,2.1
EMP9494,2023-11-14,Late,6.18,15.0,1.1
EMP9179,2024-05-01,Late,3.25,2.0,4.6
EMP5497,2023-12-11,Absent,3.62,4.0,3.9
EMP6000,2023-05-26,On Leave,6.76,6.0,3.2
EMP5542,2023-01-26,Present,4.57,7.0,1.8
EMP9938,2024-11-02,Absent,8.38,12.0,3.4
EMP7930,2023-12-19,On Leave,10.53,7.0,3.0
EMP5497,2024-01-25,On Leave,9.65,10.0,2.3
EMP8019,2023-11-20,Late,11.22,6.0,3.0
EMP5542,2024-12-27,Absent,11.25,1.0,4.7
EMP9920,2024-02-01,Late,6.095000000000001,13.0,3.2
EMP5558,2024-06-30,Present,2.39,11.0,3.0
EMP6553,2024-06-20,Work From Home,11.7,2.0,3.2
EMP4475,2023-05-07,Late,7.07,12.0,4.9
EMP1006,2023-08-04,On Leave,5.16,10.0,2.8
EMP3184,2023-02-26,Late,6.0,5.0,1.6
EMP2530,2023-04-13,Present,8.17,4.0,4.9
EMP3503,2023-04-18,Late,6.14,3.0,3.0
EMP5291,2024-09-22,Late,1.83,2.0,1.3
EMP5291,2023-04-16,On Leave,10.47,9.0,2.9
EMP6862,2024-11-13,Work From Home,1.23,13.0,4.0
EMP5497,2024-10-05,On Leave,8.55,7.0,3.8
EMP1090,2024-03-11,Present,2.63,14.0,3.2
EMP2588,2023-02-10,Late,10.23,11.0,2.7
EMP9494,2023-10-29,Absent,5.39,2.0,4.8
EMP7930,2023-06-11,Work From Home,0.89,11.0,3.0
EMP1753,2023-10-28,Absent,4.3,13.0,2.0
EMP6000,2023-02-13,Present,5.23,14.0,4.4
EMP5291,2024-07-18,Present,8.47,0.0,1.3
EMP9004,2023-05-28,Work From Home,3.5,0.0,2.4
EMP3503,2023-11-06,On Leave,2.39,12.0,1.4
EMP1753,2023-11-15,Present,0.0,15.0,4.9
EMP5010,2024-11-01,Work From Home,1.19,15.0,2.6
EMP5119,2024-06-17,On Leave,0.82,5.0,3.2
EMP1525,2024-03-20,On Leave,11.74,3.0,1.7
EMP8019,2024-08-12,On Leave,8.13,12.0,4.8
EMP6947,2024-05-13,Present,6.32,9.0,1.9
EMP4470,2023-08-19,Absent,7.77,8.0,1.3
EMP5349,2023-07-21,On Leave,5.49,8.0,3.1
EMP7615,2023-01-20,On Leave,11.87,11.0,3.2
EMP4978,2024-02-18,Absent,1.63,0.0,1.8
EMP4510,2023-07-24,Late,9.34,6.0,3.8
EMP6862,2023-07-15,On Leave,0.23,10.0,1.6
EMP6553,2023-03-06,Present,3.14,10.0,3.0
EMP5119,2024-11-23,Absent,0.05,7.0,3.8
EMP8433,2024-04-16,Present,9.98,11.0,2.7
EMP5010,2024-01-24,Late,3.24,7.0,3.0
EMP8018,2023-02-22,Present,3.22,1.0,1.8
EMP5119,2024-08-01,Work From Home,2.69,10.0,3.1
EMP5291,2023-04-04,Late,5.64,13.0,2.3
EMP5291,2023-06-05,Present,1.79,9.0,5.0
EMP8019,2023-08-11,Late,5.75,10.0,4.8
EMP4258,2023-06-26,Work From Home,3.3,4.0,3.4
EMP6862,2023-08-11,Late,5.32,7.0,1.4
EMP3170,2024-08-31,Present,7.4,14.0,1.5
EMP5135,2023-10-06,Absent,2.8,7.0,4.1
EMP3184,2024-01-28,Present,2.29,4.0,2.1
EMP4978,2023-09-14,Late,1.18,15.0,2.4
EMP6947,2023-03-07,Work From Home,4.06,7.0,1.9
EMP8019,2023-04-03,On Leave,10.92,10.0,1.7
EMP5291,2024-02-17,Late,6.19,8.0,2.8
EMP3170,2024-12-30,On Leave,11.6,7.0,4.6
EMP8018,2024-01-24,On Leave,9.88,7.0,2.4
EMP1006,2024-07-20,Work From Home,3.46,12.0,2.8
